ICD10CMCode,TotalDiag,,
S52.301C,0,0,1
S52.301M,0,0,1
S52.321G,0,0,1
S52.321K,0,0,1
S52.321P,0,0,1
S52.321S,0,0,1
S52.322P,0,0,1
S52.325D,0,0,1
S52.331B,0,0,2
S52.331P,0,0,1
S52.332P,0,0,1
S52.351G,0,0,1
S52.351P,0,0,1
S52.351Q,0,0,1
S52.352K,0,0,2
S52.352P,0,0,2
S52.353K,0,0,1
S52.362S,0,0,1
S52.363D,0,0,1
S52.371G,0,0,1
S52.371P,0,0,6
S52.371S,0,0,1
S52.372C,0,0,1
S52.372S,0,0,1
S52.391B,0,0,2
S52.391P,0,0,2
S52.392K,0,0,1
S52.392M,0,0,1
S52.392P,0,0,3
S52.501Q,0,0,2
S52.502M,0,0,3
S52.509B,0,0,1
S52.511E,0,0,1
S52.511K,0,0,4
S52.512P,0,0,7
S52.531E,0,0,1
S52.532E,0,0,2
S52.532K,0,0,4
S52.532P,0,0,14
S52.541P,0,0,1
S52.542D,0,0,1
S52.551B,0,0,5
S52.551K,0,0,1
S52.551S,0,0,1
S52.552S,0,0,1
S52.559D,0,0,2
S52.561B,0,0,1
S52.561G,0,0,2
S52.561K,0,0,1
S52.561P,0,0,3
S52.562B,0,0,1
S52.562G,0,0,1
S52.562P,0,0,1
S52.571C,0,0,1
S52.572P,0,0,32
S52.579D,0,0,3
S52.591C,0,0,1
S52.591E,0,0,3
S52.592E,0,0,2
S52.592K,0,0,3
S52.612E,0,0,3
S52.614K,0,0,1
S52.691K,0,0,4
S52.691P,0,0,2
S52.692E,0,0,1
S52.692M,0,0,1
S52.692P,0,0,3
S52.91XM,0,0,1
S52.92XH,0,0,1
S53.022D,0,0,2
S53.025D,0,0,1
S53.132D,0,0,1
S53.133A,0,0,1
S53.20XA,0,0,1
S53.21XD,0,0,3
S53.22XD,0,0,1
S53.30XA,0,0,4
S53.30XD,0,0,1
S53.421A,0,0,1
S53.432D,0,0,1
S53.442D,0,0,3
S53.449S,0,0,1
S54.00XS,0,0,2
S54.11XS,0,0,1
S54.12XS,0,0,2
S54.31XA,0,0,5
S54.31XD,0,0,1
S54.91XS,0,0,1
S55.191A,0,0,1
S56.011D,0,0,1
S56.012D,0,0,1
S56.104S,0,0,1
S56.108S,0,0,1
S56.115D,0,0,1
S56.121D,0,0,2
S56.125S,0,0,1
S56.127S,0,0,1
S56.129D,0,0,5
S56.196D,0,0,1
